OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date,x,y
840,OB02002211,ON1237 Severn ALB Fraser Flyer,Aberdeen ALB,57.14404678,-2.080429077,NULL,NULL,NULL,ON1237,17-17,232003135,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,01/06/1998,-2.08042907699996,57.1440467800001
841,OB02006507,Y-Class Avon / ILC MK1 3-5M,Aberdeen ALB,57.14404678,-2.080429077,NULL,NULL,NULL,,Y-230,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/01/1900,-2.08042907699996,57.1440467800001
842,OB02030290,D-Class ILB BUOY WOODY – 85N,Aberdeen ILB D,57.14404678,-2.080429077,Aberdeen ILB D,57.14404678,-2.080429077,,D-830,232012734,D-Class,IB1 variant,IB1,MK2IB1,31/08/2018,-2.08042907699996,57.1440467800001
843,OB02018849,B-Class A85 Hugh Miles,Aberdovey ILB B,52.54315948,-4.045661926,Aberdovey ILB B,52.54315948,-4.045661926,,B-896,232005151,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/10/2016,-4.04566192599998,52.54315948
844,OB02016847,B-Class A85 Peter and Ann Setten,Abersoch ILB B,52.82647705,-4.504443169,Abersoch ILB B,52.82647705,-4.504443169,,B-886,235111832,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/01/1900,-4.50444316899996,52.8264770500001
845,OB02012343,A-Class IRB No Name,Aberystwyth ILB A,52.40875244,-4.088925838,Aberystwyth ILB A,52.40875244,-4.088925838,,A-78,,A-Class,Arancia United Kingdom built,AranciaUK,MK2Lifeboat,01/12/2012,-4.08892583799997,52.4087524400001
846,OB02046368,B-Class A85 Florence and Ernest Bowles,Aberystwyth ILB B,52.40875244,-4.088925838,Aberystwyth ILB B,52.40875244,-4.088925838,,B-937,232046506,B-Class,Atlantic 85,Atlantic85,MK3Atlantic85,05/01/2023,-4.08892583799997,52.4087524400001
847,OB02040791,Boat Sillinger 525,Achill Island ALB,53.88277435,-9.944611549,Achill Island Lifeboat Station,53.88277435,-9.944611549,,BB-907,,Boat,Sillinger,Sillinger,Sillinger525,06/07/2021,-9.94461154899994,53.88277435
848,OB02002121,ON1240 Trent ALB Sam and Ada Moody,Achill Island ALB,53.88277435,-9.944611549,Achill Island ALB,53.88277435,-9.944611549,ON1240,14-28,232003138,Trent,Afloat Boat,AfloatBoat,MK2Trent,30/06/1998,-9.94461154899994,53.88277435
849,OB02003137,XP-Class Avon MK1 Rollaway 2-81,Achill Island ALB,53.88277435,-9.944611549,NULL,NULL,NULL,,XP-27,,XP-Class,Avon,Avon,MK1Rollaway2-81,01/07/2002,-9.94461154899994,53.88277435
850,OB02003836,Y-Class Avon / ILC MK1 3-5M,Aith ALB,60.28630829,-1.375213981,NULL,NULL,NULL,,Y-202,,Y-Class,Avon / ILC,Avon/ILC,MK13-5M,01/01/1900,-1.37521398099994,60.2863082900001
851,OB02002200,ON1232 Severn ALB Charles Lidbury,Aith ALB,60.28630829,-1.375213981,Aith ALB,60.28630829,-1.375213981,ON1232,17-14,232003052,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1998,-1.37521398099994,60.2863082900001
852,OB02002095,ON1193 Mersey ALB Freddie Cooper,Aldeburgh ALB,52.15307999,1.602759004,Aldeburgh ALB,52.15307999,1.602759004,ON1193,12-34,232003208,Mersey,Carriage Boat,CarriageBoat,MK1FRCMersey,30/06/1993,1.60275900400006,52.15307999
853,OB02027306,D-Class ILB Susan Scott,Aldeburgh ILB D,52.15307999,1.602759004,Aldeburgh ILB D,52.15307999,1.602759004,,D-808,232006804,D-Class,IB1 variant,IB1,MK2IB1,22/03/2017,1.60275900400006,52.15307999
854,OB02002229,ON1199 Trent ALB Roy Barker I,Alderney ALB,49.72409821,-2.200129986,Alderney ALB,49.72409821,-2.200129986,ON1199,14-04,232001870,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1994,-2.20012998599998,49.7240982100001
