OBJECTID,Station Type,County,Division,Region,Country,Lifesaving Area,Lifesaving Region,URL,Station,SAP_ID,Lat (DecDeg),(Long (DecDeg),x,y
1,ILB,Fermanagh,North & IOM,Ireland,NIR,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/enniskillen-lifeboat-station,Enniskillen,1098,54.42248535,-7.68214416999996,-855172.377204911,7250579.49851477
2,ILB,Fermanagh,North & IOM,Ireland,NIR,IR6,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/carrybridge-lifeboat-station,Carrybridge,1099,54.287517,-7.54842299999996,-840286.60465223,7224797.71981382
3,ALB,Antrim,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/portrush-lifeboat-station,Portrush,1111,55.2068100000001,-6.65661477999993,-741010.967716571,7402107.61483906
4,ALB,Antrim,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/red-bay-lifeboat-station,Red Bay,1128,55.0749969500001,-6.05346393999997,-673868.52333624,7376435.11762688
5,ALB,Antrim,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/larne-lifeboat-station,Larne,1130,54.84673309,-5.80012893999998,-645667.400136127,7332176.77088768
6,ILB,Down,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/bangor-lifeboat-station,Bangor (Co Down),1133,54.6656951900001,-5.66716718999993,-630866.165831139,7297252.83404556
7,ALB,Down,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/donaghadee-lifeboat-station,Donaghadee,1155,54.6434326200001,-5.53198384999996,-615817.625258609,7292968.93063239
8,ILB,Down,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/portaferry-lifeboat-station,Portaferry,1178,54.38088608,-5.54928922999994,-617744.051348191,7242624.13409224
9,ALB,Down,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/newcastle-lifeboat-station,Newcastle (Co Down),1189,54.1979637100001,-5.88715409999998,-655354.99663353,7207737.75734143
10,ILB,Down,North & IOM,Ireland,NIR,IR1,Ireland,https://rnli.org/find-my-nearest/lifeboat-stations/kilkeel-lifeboat-station,Kilkeel,1197,54.05849075,-5.99019097999997,-666825.009648057,7181241.53351515
11,ILB,Isle of Man,North & IOM,WalesAndWest,IOM,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/port-erin-lifeboat-station,Port Erin,1202,54.08519363,-4.76800918999993,-530772.355128441,7186307.48647556
12,ALB,Isle of Man,North & IOM,WalesAndWest,IOM,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/peel-lifeboat-station,Peel,1224,54.2270965600001,-4.69805001999993,-522984.53594772,7213283.52258818
13,ALB,Isle of Man,North & IOM,WalesAndWest,IOM,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/ramsey-lifeboat-station,Ramsey,1246,54.3225593600001,-4.37840508999994,-487401.825105471,7231483.40940014
14,ALB,Isle of Man,North & IOM,WalesAndWest,IOM,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/douglas-lifeboat-station,Douglas,1248,54.1448707600001,-4.46974610999996,-497569.860940411,7197640.96417936
15,ALB,Isle of Man,North & IOM,WalesAndWest,IOM,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/port-st-mary-lifeboat-station,Port St Mary,1260,54.07045364,-4.73450088999994,-527042.228235093,7183510.67753408
16,ILB,Merseyside,Wales & North West,WalesAndWest,ENG,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/west-kirby-lifeboat-station,West Kirby,1301,53.3660583500001,-3.18234395999997,-354256.909156246,7050997.94551094
17,ALB,Merseyside,Wales & North West,WalesAndWest,ENG,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/hoylake-lifeboat-station,Hoylake,1314,53.399188,-3.17751299999998,-353719.129149004,7057180.96618569
18,ILB,Merseyside,Wales & North West,WalesAndWest,ENG,WW2,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/new-brighton-lifeboat-station,New Brighton,1335,53.4394531300001,-3.04727410999993,-339221.002232718,7064702.17294861
19,ALB,Lancashire,West & North West,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/lytham-st-annes-lifeboat-station,Lytham St Annes,1357,53.7467,-3.03259999999995,-337587.487779675,7122329.51335278
20,ILB,Lancashire,Wales & North West,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/blackpool-lifeboat-station,Blackpool,1379,53.8134422300001,-3.05609797999995,-340203.270947946,7134903.35858487
21,ALB,Lancashire,Wales & North West,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/fleetwood-lifeboat-station,Fleetwood,1391,53.9277572600001,-3.00653099999994,-334685.499974185,7156486.23857181
22,ILB,Lancashire,Wales & North West,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/morecambe-lifeboat-station,Morecambe,1400,54.0751113900001,-2.86361193999994,-318775.822990332,7184394.34535696
23,ALB,Cumbria,Wales & North West,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/barrow-lifeboat-station,Barrow,1422,54.0725097700001,-3.17332696999995,-353253.142420956,7183900.75407155
24,ILB,Cumbria,North & Scot South,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/st-bees-lifeboat-station,St Bees,1444,54.4910965,-3.60655688999998,-401480.07651177,7263718.22288512
25,ALB,Cumbria,North & Scot South,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/workington-lifeboat-station,Workington,1466,54.65088654,-3.56768893999993,-397153.316109586,7294402.99935942
26,ILB,Cumbria,North & Scot South,WalesAndWest,ENG,WW1,Wales&West,https://rnli.org/find-my-nearest/lifeboat-stations/silloth-lifeboat-station,Silloth,1488,54.8700180100001,-3.39316606999995,-377725.519089408,7336680.01602669
27,ILB,The Stewartry of Kirkcudbright,North & Scot South,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/kippford-lifeboat-station,Kippford,2009,54.87649536,-3.81349801999994,-424516.65772755,7337933.18167058
28,ILB,The Stewartry of Kirkcudbright,North & Scot South,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/kirkcudbright-lifeboat-station,Kirkcudbright,2027,54.7946650000001,-4.06245599999994,-452230.533290072,7322116.3277146
29,ALB,Wigtown,North & Scot South,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/portpatrick-lifeboat-station,Portpatrick,2045,54.8419303900001,-5.11991881999995,-569946.755945293,7331248.26407777
30,ILB,Wigtown,North & Scot South,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/stranraer-lifeboat-station,Stranraer,2052,54.90816879,-5.03522491999996,-560518.674123997,7344063.9066872
31,ALB,Ayrshire and Arran,Central & Shetland,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/girvan-lifeboat-station,Girvan,2063,55.24337769,-4.85763883999994,-540749.882126421,7409244.75753429
32,ALB,Argyll and Bute,Central & Shetland,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/campbeltown-lifeboat-station,Campbeltown,2081,55.4251709000001,-5.60196303999993,-623607.673055531,7444824.24450026
33,ILB,Ayrshire and Arran,Central & Shetland,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/arran-lifeboat-station,Arran (Lamlash),2093,55.5352592500001,-5.12477921999994,-570487.813198343,7466449.77515644
34,ALB,Ayrshire and Arran,Central & Shetland,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/troon-lifeboat-station,Troon,2108,55.5481224100001,-4.68140983999996,-521132.159583416,7468980.53548616
35,ALB,Argyll and Bute,Central & Shetland,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/islay-lifeboat-station,Islay,2126,55.84852219,-6.10505914999993,-679612.075840808,7528319.6168858
36,ILB,Ayrshire and Arran,Central & Shetland,Scotland,SCT,SC4,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/largs-lifeboat-station,Largs,2144,55.8001518200001,-4.87068175999997,-542201.813339282,7518733.96810482
37,ILB,Dunbartonshire,Central & Shetland,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/helensburgh-lifeboat-station,Helensburgh,2162,56.0130462600001,-4.77341699999994,-531374.349783949,7561013.23593748
38,ILB,Argyll and Bute,Central & Shetland,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/tighnabruaich-lifeboat-station,Tighnabruaich,2180,55.9067344700001,-5.23264121999995,-582494.956114288,7539871.4861312
39,ALB,Argyll and Bute,Highlands,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/oban-lifeboat-station,Oban,2194,56.4110298200001,-5.47961902999998,-609988.40016073,7640679.01608383
40,ALB,Argyll and Bute,Highlands,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/tobermory-lifeboat-station,Tobermory,2200,56.62326813,-6.06437778999998,-675083.447560836,7683504.60351999
41,ALB,Inverness,Highlands,Scotland,SCT,SC5,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/mallaig-lifeboat-station,Mallaig,2201,57.0062866200001,-5.82900905999998,-648882.320388576,7761403.71202094
42,ALB,Western Isles,Central & Shetland,Scotland,SCT,SC6,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/barra-island-lifeboat-station,Barra Island,2223,56.9541244500001,-7.48712396999997,-833462.82784651,7750747.88333877
43,ILB,Ross and Cromarty,Highlands,Scotland,SCT,SC6,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/kyle-of-lochalsh-lifeboat-station,Kyle of Lochalsh,2229,57.2801551800001,-5.71470403999996,-636157.943767059,7817596.84897164
44,ALB,Ross and Cromarty,Highlands,Scotland,SCT,SC6,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/portree-lifeboat-station,Portree,2234,57.4107894900001,-6.19001817999998,-689069.671798704,7844548.12791878
45,ILB,Western Isles,Highlands,Scotland,SCT,SC6,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/leverburgh-lifeboat-station,Leverburgh,2240,57.7678060000001,-7.02378299999998,-781883.947002449,7918698.18193278
46,ALB,Western Isles,Highlands,Scotland,SCT,SC6,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/stornoway-lifeboat-station,Stornoway,2255,58.21006393,-6.38903808999993,-711224.466837621,8011575.47183839
47,ALB,Sutherland,Highlands,Scotland,SCT,SC6,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/lochinver-lifeboat-station,Lochinver,2263,58.1467895500001,-5.24759721999993,-584159.85041859,7998216.85673306
48,ALB,Caithness,Highlands,Scotland,SCT,SC1,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/thurso-lifeboat-station,Thurso,2281,58.61207962,-3.54693197999995,-394842.661891972,8097010.63539232
49,ALB,Orkney,Highlands,Scotland,SCT,SC1,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/longhope-lifeboat-station,Longhope,2318,58.8005790700001,-3.20692395999993,-356993.14223994,8137408.64251758
50,ALB,Orkney,Highlands,Scotland,SCT,SC1,Scotland,https://rnli.org/find-my-nearest/lifeboat-stations/stromness-lifeboat-station,Stromness,2336,58.96333694,-3.29768991999993,-367097.162688503,8172466.80783648
