OBJECTID,Name,Support Centre,Latitude,Longitude,Council Area,Unit Operating Times,Date,Lifesaving Area,x,y
1270,Aberavon,Swansea,51.59351,-3.816926,Port Talbot,https://rnli.org/find-my-nearest/lifeguarded-beaches/aberavon-beach,2010,WW5,-3.81692599999997,51.59351
1271,Aberdour Silver Sands,Glenrothes,56.053829,-3.286794,Fife ,https://rnli.org/find-my-nearest/lifeguarded-beaches/aberdour-silver-sands-beach,,SC3,-3.28679399999993,56.0538290000001
1272,Aberporth,Cardigan,52.134666,-4.546241,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/aberporth-beach,2009,WW4,-4.54624099999995,52.134666
1273,Aberystwyth North,Cardigan,52.417076,-4.084961,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/aberystwyth-north-beach,2009,WW4,-4.08496099999996,52.4170760000001
1274,Aberystwyth South,Cardigan,52.40995,-4.08894,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/aberystwyth-south-beach,2009,WW4,-4.08893999999998,52.40995
1275,Ainsdale,Formby,53.608345,-3.063931,Sefton,https://rnli.org/find-my-nearest/lifeguarded-beaches/ainsdale-beach,2010,WW1,-3.06393099999997,53.608345
1276,Alum Chine,Poole,50.710843,-1.896192,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/alum-chine-beach,2001,SE5,-1.89619199999993,50.7108430000001
1277,Amroth,Haverfordwest,51.733037,-4.654786,Pembrokeshire,https://rnli.org/find-my-nearest/lifeguarded-beaches/amroth-beach,2008,WW5,-4.65478599999994,51.7330370000001
1278,Avon Beach,Poole,50.72884,-1.734418,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/avon-beach,,SE5,-1.73441799999995,50.72884
1279,Bantham,Kingsbridge,50.276904,-3.878901,South Hams,https://rnli.org/find-my-nearest/lifeguarded-beaches/bantham-beach,2002,SW2,-3.87890099999993,50.2769040000001
1280,Beach View,Hayle,50.208733,-5.409952,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/beach-view-beach,2008,SW4,-5.40995199999998,50.2087330000001
1281,Belvedere,Scarborough,54.066937,-0.208006,East Riding,https://rnli.org/find-my-nearest/lifeguarded-beaches/belvedere-beach,2013,NE2,-0.208005999999955,54.0669370000001
1282,Benone Strand,Ballymoney,55.167419,-6.874899,Causeway Coast and Glens,https://rnli.org/find-my-nearest/lifeguarded-beaches/benone-strand-beach,,IR1,-6.87489899999997,55.1674190000001
1283,Berrow,Mullacott,51.281568,-3.016717,Somerset,https://rnli.org/find-my-nearest/lifeguarded-beaches/berrow-beach,2013,SW1,-3.01671699999997,51.281568
1284,Black Rock,Bude,50.788486,-4.557737,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/black-rock-beach,2006,SW3,-4.55773699999997,50.788486
1285,Blackpool Sands,Kingsbridge,50.319157,-3.611062,South Hams,https://rnli.org/find-my-nearest/lifeguarded-beaches/blackpool-sands-beach,2006,SW2,-3.61106199999995,50.3191570000001
1286,Bognor Regis   ,Chichester,50.7818,-0.6726,Arun,https://rnli.org/find-my-nearest/lifeguarded-beaches/bognor-regis-beach,2016,SE5,-0.672599999999932,50.7818
1287,Broughty Ferry,Glenrothes,56.4641,-2.865,Dundee,https://rnli.org/find-my-nearest/lifeguarded-beaches/broughty-ferry-beach,,SC3,-2.86499999999995,56.4641
1288,Booby's,Padstow,50.538137,-5.024358,Cornwall,https://rnli.org/find-my-nearest/lifeguarded-beaches/boobys-beach,2004,SW4,-5.02435799999995,50.5381370000001
1289,Borth,Cardigan,52.481476,-4.051401,Ceredigion,https://rnli.org/find-my-nearest/lifeguarded-beaches/borth-beach,2009,WW4,-4.05140099999994,52.481476
1290,Boscombe East,Poole,50.719717,-1.841886,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/boscombe-east-beach,2001,SE5,-1.84188599999993,50.7197170000001
1291,Boscombe West,Poole,50.719536,-1.844821,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/boscombe-west-beach,2001,SE5,-1.84482099999997,50.7195360000001
1292,Botany Bay,Ramsgate,51.388888,1.434884,Thanet,https://rnli.org/find-my-nearest/lifeguarded-beaches/botany-bay-beach,,SE2,1.43488400000007,51.3888880000001
1293,Bournemouth East,Poole,50.715979,-1.873811,"Bournemouth, Christchurch, Poole Council",https://rnli.org/find-my-nearest/lifeguarded-beaches/bournemouth-east-beach-east-cliff,2001,SE5,-1.87381099999993,50.7159790000001
